[29-Dec-2022 12:01:49 Asia/Kolkata] PHP Notice:  Undefined index: lvl in /var/www/html/erpm/Controller/getprocess.php on line 8
[29-Dec-2022 12:01:52 Asia/Kolkata] PHP Notice:  Undefined index: dept in /var/www/html/erpm/Controller/getsubprocess.php on line 11
[29-Dec-2022 12:02:10 Asia/Kolkata] PHP Notice:  Undefined index: lvl in /var/www/html/erpm/Controller/getprocess.php on line 8
[29-Dec-2022 12:02:12 Asia/Kolkata] PHP Notice:  Undefined index: dept in /var/www/html/erpm/Controller/getsubprocess.php on line 11
[29-Dec-2022 12:02:34 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[29-Dec-2022 12:02:37 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 12:02:37 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 12:03:12 Asia/Kolkata] PHP Warning:  include_once(../Services/sendsms_API1.php): failed to open stream: No such file or directory in /var/www/html/erpm/View/bday_msg.php on line 4
[29-Dec-2022 12:03:12 Asia/Kolkata] PHP Warning:  include_once(): Failed opening '../Services/sendsms_API1.php' for inclusion (include_path='.:/usr/share/php') in /var/www/html/erpm/View/bday_msg.php on line 4
[29-Dec-2022 12:03:12 Asia/Kolkata] PHP Warning:  Use of undefined constant SMS_URL - assumed 'SMS_URL' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/bday_msg.php on line 21
[29-Dec-2022 12:03:12 Asia/Kolkata] PHP Warning:  Use of undefined constant SMS_TOKEN - assumed 'SMS_TOKEN' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/bday_msg.php on line 22
[29-Dec-2022 12:03:12 Asia/Kolkata] PHP Warning:  Use of undefined constant SMS_CREDIT - assumed 'SMS_CREDIT' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/bday_msg.php on line 23
[29-Dec-2022 12:03:12 Asia/Kolkata] PHP Warning:  Use of undefined constant SMS_SENDER - assumed 'SMS_SENDER' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/View/bday_msg.php on line 24
[29-Dec-2022 12:03:12 Asia/Kolkata] PHP Fatal error:  Uncaught Error: Class 'sendsms' not found in /var/www/html/erpm/View/bday_msg.php:27
Stack trace:
#0 {main}
  thrown in /var/www/html/erpm/View/bday_msg.php on line 27
[29-Dec-2022 12:07:43 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[29-Dec-2022 12:07:50 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[29-Dec-2022 12:07:52 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/index.php on line 346
[29-Dec-2022 12:08:15 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[29-Dec-2022 12:08:17 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
