[05-Jan-2023 13:00:33 Asia/Kolkata] PHP Notice:  Undefined index: SearchBy in /var/www/html/erpm/View/irtermination_qh.php on line 247
[05-Jan-2023 13:02:13 Asia/Kolkata] PHP Notice:  Undefined index: __user_logid in /var/www/html/erpm/AppCode/nHead.php on line 2
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  mysqli_stmt::bind_param(): Number of elements in type definition string doesn't match number of bind variables in /var/www/html/erpm/Controller/ConLog.php on line 464
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 470
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_HOST - assumed 'EMAIL_HOST' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 473
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_AUTH - assumed 'EMAIL_AUTH' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 474
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_USER - assumed 'EMAIL_USER' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 475
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PASS - assumed 'EMAIL_PASS' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 476
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_SMTPSecure - assumed 'EMAIL_SMTPSecure' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 477
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_PORT - assumed 'EMAIL_PORT' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 478
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMAIL_FROM - assumed 'EMAIL_FROM' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 479
[05-Jan-2023 13:02:15 Asia/Kolkata] PHP Warning:  Use of undefined constant EMS_CenterName - assumed 'EMS_CenterName' (this will throw an Error in a future version of PHP) in /var/www/html/erpm/Controller/ConLog.php on line 482
[05-Jan-2023 13:02:18 Asia/Kolkata] PHP Notice:  Undefined index: txt_dateFrom in /var/www/html/erpm/View/message-popup.php on line 27
[05-Jan-2023 13:02:18 Asia/Kolkata] PHP Notice:  Undefined index: txt_dateto in /var/www/html/erpm/View/message-popup.php on line 34
[05-Jan-2023 13:15:44 Asia/Kolkata] PHP Warning:  move_uploaded_file(/var/www/html/erpm/Controller/../Upload/CE03070003_2023-01-05_131544.jpg): failed to open stream: Permission denied in /var/www/html/erpm/Controller/ithdk_submit_rca_text_and_attachment_web_service.php on line 74
[05-Jan-2023 13:15:44 Asia/Kolkata] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/phpn6AGl5' to '/var/www/html/erpm/Controller/../Upload/CE03070003_2023-01-05_131544.jpg' in /var/www/html/erpm/Controller/ithdk_submit_rca_text_and_attachment_web_service.php on line 74
[05-Jan-2023 13:17:05 Asia/Kolkata] PHP Warning:  move_uploaded_file(/var/www/html/erpm/Controller/../Upload/CE03070003_2023-01-05_131705.jpg): failed to open stream: Permission denied in /var/www/html/erpm/Controller/ithdk_submit_rca_text_and_attachment_web_service.php on line 74
[05-Jan-2023 13:17:05 Asia/Kolkata] PHP Warning:  move_uploaded_file(): Unable to move '/tmp/php73hktO' to '/var/www/html/erpm/Controller/../Upload/CE03070003_2023-01-05_131705.jpg' in /var/www/html/erpm/Controller/ithdk_submit_rca_text_and_attachment_web_service.php on line 74
[05-Jan-2023 13:22:48 Asia/Kolkata] PHP Deprecated:  implode(): Passing glue string after array is deprecated. Swap the parameters in /var/www/html/erpm/AppData/Class/MysqliDb.php on line 1372
[05-Jan-2023 13:22:48 Asia/Kolkata] PHP Notice:  Undefined index: to in /var/www/html/erpm/View/calcRange.php on line 42
[05-Jan-2023 13:22:49 Asia/Kolkata] PHP Notice:  Object of class mysqli_result could not be converted to int in /var/www/html/erpm/View/calcRange.php on line 412
[05-Jan-2023 13:22:49 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-04 in /var/www/html/erpm/View/calcRange.php on line 583
[05-Jan-2023 13:22:49 Asia/Kolkata] PHP Notice:  Undefined index: 2023-01-04 in /var/www/html/erpm/View/calcRange.php on line 932
