[06-Jan-2023 17:03:19 Asia/Kolkata] PHP Notice:  Undefined variable: error in /var/www/html/erpm/View/resign_module_oh.php on line 222
[06-Jan-2023 17:04:15 Asia/Kolkata] PHP Notice:  Undefined variable: error in /var/www/html/erpm/View/resign_module_report.php on line 250
[06-Jan-2023 17:05:38 Asia/Kolkata] PHP Notice:  Undefined variable: error in /var/www/html/erpm/View/resign_module_sitehead.php on line 211
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:22 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:06:23 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 374
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:25 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module.php on line 379
[06-Jan-2023 17:08:35 Asia/Kolkata] PHP Notice:  Undefined variable: my_error in /var/www/html/erpm/View/roster_module_oh.php on line 688
[06-Jan-2023 17:08:40 Asia/Kolkata] PHP Notice:  Undefined variable: my_error in /var/www/html/erpm/View/roster_module_oh.php on line 688
[06-Jan-2023 17:08:45 Asia/Kolkata] PHP Warning:  max(): Array must contain at least one element in /var/www/html/erpm/View/roster_module_oh.php on line 381
[06-Jan-2023 17:08:45 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
[06-Jan-2023 17:08:45 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
[06-Jan-2023 17:08:45 Asia/Kolkata] PHP Notice:  Trying to access array offset on value of type null in /var/www/html/erpm/View/roster_module_oh.php on line 500
